127.0.0.1 - - [31/May/2017:13:08:29 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/May/2017:13:28:38 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/May/2017:13:28:41 +0200] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:28:41 +0200] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 9081
0:0:0:0:0:0:0:1 - - [31/May/2017:13:28:51 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [31/May/2017:13:28:55 +0200] "GET /WholesalerWebDemo/import.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [31/May/2017:13:28:56 +0200] "GET /WholesalerWebDemo/controllerservlet?action=showOrderList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:28:56 +0200] "GET /WholesalerWebDemo/orders.jsp HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [31/May/2017:13:28:57 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [31/May/2017:13:31:14 +0200] "POST /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [31/May/2017:13:31:15 +0200] "POST /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [31/May/2017:14:16:36 +0200] "POST /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [31/May/2017:14:16:36 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:16:36 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:16:38 +0200] "GET /WholesalerWebDemo/controllerservlet?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:14:16:38 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/May/2017:14:16:40 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [31/May/2017:14:43:00 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:41 +0200] "GET /WholesalerWebDemo/controllerservlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:41 +0200] "GET /WholesalerWebDemo/logout.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:42 +0200] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:46 +0200] "GET /WholesalerWebDemo/controllerservlet?action=login&role=3&username=supplier1&password=supplier1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:46 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:50 +0200] "GET /WholesalerWebDemo/controllerservlet?action=readWsSettings HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:50 +0200] "GET /WholesalerWebDemo/ws_settings.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:53 +0200] "GET /WholesalerWebDemo/controllerservlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:53 +0200] "GET /WholesalerWebDemo/logout.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [31/May/2017:15:01:55 +0200] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [31/May/2017:15:10:02 +0200] "GET /WholesalerWebDemo/controllerservlet?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:15:10:02 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/May/2017:15:10:05 +0200] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:15:10:05 +0200] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 9081
0:0:0:0:0:0:0:1 - - [31/May/2017:15:10:17 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/May/2017:15:10:19 +0200] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:15:10:19 +0200] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 9081
0:0:0:0:0:0:0:1 - - [31/May/2017:15:11:05 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2731
